Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
10919.0,26.0,2006.0,10.0,361.0,41.36,28.96,3.77,8.45,82.53,76.0,51.0,77.0,322.0,1008.0,1.0
9265.0,11.0,1985.0,4.0,361.0,29.08,3.58,6.81,0.77,40.24,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
5534.0,26.0,2008.0,6.0,361.0,15.68,12.76,3.79,3.29,35.52,82.0,73.0,80.0,709.0,1008.0,1.0
10921.0,26.0,2009.0,10.0,361.0,15.61,10.93,3.28,2.95,32.77,80.0,73.0,77.0,192.0,1008.0,1.0
7294.0,5.0,1996.0,7.0,361.0,11.27,8.89,10.22,1.0,31.37,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
9646.0,5.0,1989.0,5.0,361.0,23.2,2.26,4.22,0.58,30.26,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
6677.0,4.0,2006.0,4.0,361.0,11.28,9.14,6.5,2.88,29.8,89.0,65.0,82.0,431.0,1008.0,1.0
10917.0,26.0,2006.0,3.0,361.0,13.96,9.18,2.93,2.84,28.92,58.0,41.0,63.0,129.0,1008.0,1.0
6680.0,26.0,2009.0,4.0,361.0,14.44,6.94,4.7,2.24,28.32,87.0,80.0,81.0,594.0,1008.0,1.0
2566.0,11.0,1984.0,8.0,361.0,26.93,0.63,0.28,0.47,28.31,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
6743.0,4.0,2005.0,9.0,361.0,9.05,10.95,1.93,2.74,24.67,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
5533.0,4.0,2005.0,6.0,361.0,9.71,7.47,4.13,1.9,23.21,91.0,64.0,83.0,464.0,1008.0,1.0
7281.0,5.0,1999.0,7.0,361.0,9.0,6.18,7.2,0.71,23.1,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
10911.0,26.0,2007.0,10.0,361.0,8.92,8.03,3.6,2.15,22.7,80.0,63.0,74.0,146.0,1008.0,1.0
4875.0,28.0,2010.0,3.0,325.0,15.0,4.89,0.24,1.69,21.81,61.0,45.0,60.0,106.0,607.0,1.0
10912.0,26.0,2009.0,10.0,361.0,9.01,8.49,2.53,1.77,21.79,80.0,33.0,71.0,52.0,1008.0,1.0
3681.0,17.0,2013.0,0.0,496.0,7.02,9.09,0.98,3.96,21.04,97.0,50.0,79.0,3994.0,1208.0,5.0
3685.0,16.0,2004.0,0.0,496.0,9.43,0.4,0.41,10.57,20.81,95.0,80.0,87.0,1588.0,1208.0,5.0
9279.0,23.0,1990.0,4.0,361.0,12.78,3.75,3.54,0.55,20.61,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
1009.0,4.0,2005.0,3.0,361.0,4.74,9.2,4.16,2.04,20.15,77.0,58.0,76.0,50.0,1008.0,1.0
7279.0,4.0,2006.0,7.0,361.0,6.38,4.46,6.04,1.36,18.25,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
9272.0,5.0,1989.0,4.0,361.0,10.83,2.71,4.18,0.42,18.14,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
9267.0,11.0,1988.0,4.0,361.0,9.54,3.44,3.84,0.46,17.28,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
